2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.213 | TaskId 8 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.219 | TaskId 9 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.226 | TaskId 10 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.233 | TaskId 11 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.239 | TaskId 12 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.246 | TaskId 13 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.253 | TaskId 14 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.260 | TaskId 15 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.267 | WorkerId 0 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.272 | WorkerId 1 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.276 | WorkerId 5 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.281 | WorkerId 7 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.286 | WorkerId 6 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.290 | WorkerId 2 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.295 | WorkerId 4 started, log type is info.
2019-05-24 18:25:17 | INFO | 12695 | 5ce7c68d112a9 | 1558693517.300 | WorkerId 3 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.382 | Serve Queue Started, Master pid is: 12731.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.497 | Task 8 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.504 | Task 9 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.511 | Task 10 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.517 | Task 11 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.522 | Task 12 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.528 | Task 13 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.534 | Worker 5 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.538 | Worker 7 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.543 | Worker 6 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.547 | Worker 2 started, log type is info.
2019-05-24 18:25:27 | INFO | 12731 | 5ce7c697560bb | 1558693527.551 | Task 14 started, log type is info.
